Status,Address,Size,Monthly Rent,Security Deposit,Annual Parking Fee,Utilities,Laundry,Description
Available,"6661 Berkshire Terrace #02, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments! Lounge / recreation room onsite laundry room new windows. Max occupancy 2.
Available,"6661 Berkshire Terrace #26, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments! Lounge / recreation room onsite laundry room new windows. Max occupancy 2.
Available,"6661 Berkshire Terrace #25, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments! Lounge / recreation room onsite. Max occupancy 2.
Available,"6661 Berkshire Terrace #24, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6681 Berkshire Terrace #12, Goleta, CA 93117",1 Bedroom / 1 Bath,2825,2825,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 3.
Available,"6661 Berkshire Terrace #17, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #11, Goleta, CA 93117",1 Bedroom / 1 Bath,2550,2550,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #08, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs corner unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #04, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #03, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #27, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit. Photos of similar unit. Max occupancy 2.
Available,"6712 Del Playa Drive #101, Goleta, CA 93117",1 Bedroom / 1 Bath,3300,3300,N/A,NONE,NO,Beachside living near Sea Lookout Park. W/D in unit. Less than 1 mile from UCSB.
Available,"6815 Trigo Road #101, Goleta, CA 93117",1 Bedroom / 1 Bath,3100,3100,N/A,Trash,YES,Charming unit 1 mile from UCSB. Shared meters. Includes microwave.
Available,"6681 Berkshire Terrace #13, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6631 Picasso Rd. #13, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,$200/mo,YES,Recently renovated gated entrance on-site laundry. Heart of IV.
Available,"6631 Picasso Rd. #12, Goleta, CA 93117",1 Bedroom / 1 Bath,2600,2600,$600,$200/mo,YES,Extra large upstairs 1 bedroom. Walk-in closets.
Available,"6581 Trigo Road #06, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$500,W/T,NO,Upgraded unit in small complex. Pets welcome. Onsite parking.
Available,"6581 Trigo Road #04, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$500,W/T,NO,Pet friendly. Tile floors throughout. Downtown IV.
Available,"6681 Berkshire Terrace #15, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6671 Berkshire Terrace #06, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6681 Berkshire Terrace #09, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6681 Berkshire Terrace #08, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6681 Berkshire Terrace #05, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
