"slider-link href","slider-total","address","rent","feature","feature 2","tagline","apm-apply-now href","tooltip"
"https://www.playalifeiv.com/listings/detail/808e8127-faa0-4811-ab98-0ca1ea3d487a","/ 34","6569 Del Playa, Goleta, CA 93117","-","3 beds","4 baths","LEASED FOR: 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=808e8127-faa0-4811-ab98-0ca1ea3d487a&source=Website",""
"https://www.playalifeiv.com/listings/detail/33fe3941-06e9-4e4a-926a-d7ba0f05258a","/ 49","6579 Del Playa, Goleta, CA 93117","-","5 beds","4 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=33fe3941-06e9-4e4a-926a-d7ba0f05258a&source=Website",""
"https://www.playalifeiv.com/listings/detail/a081ee6a-63ce-4861-bdca-800e29c55039","/ 45","6567 Del Playa, Goleta, CA 93117","-","3 beds","4 baths","LEASED 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=a081ee6a-63ce-4861-bdca-800e29c55039&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/63512f72-5780-4cb3-8747-050edf1c51a9","/ 36","6536 Del Playa, Goleta, CA 93117","$18,000","4 beds","3 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=63512f72-5780-4cb3-8747-050edf1c51a9&source=Website",""
"https://www.playalifeiv.com/listings/detail/8c3c9fe3-f94f-42ab-acfa-0ec5f166f75d","/ 13","6701 Del Playa, Goleta, CA 93117","-","3 beds","2 baths","LEASED FOR:  2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=8c3c9fe3-f94f-42ab-acfa-0ec5f166f75d&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/14d34829-fbbb-4360-b8ed-becd67de1b93","/ 27","6535 El Nido, Goleta, CA 93117","$14,000","3 beds","2.5 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=14d34829-fbbb-4360-b8ed-becd67de1b93&source=Website",""
"https://www.playalifeiv.com/listings/detail/604dc8b1-f08d-4979-8e79-23b9e3474af7","/ 18","6653 Del Playa, 5, Goleta, CA 93117","-","3 beds","2 baths","LEASED FOR:   2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=604dc8b1-f08d-4979-8e79-23b9e3474af7&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/80820238-18ee-43e0-9eff-0a55bb329fa0","/ 29","6653 Del Playa, 4, Goleta, CA 93117","-","5 beds","2 baths","LEASED FOR:  2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=80820238-18ee-43e0-9eff-0a55bb329fa0&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/d4e857d6-1323-4a01-a91d-0abf45c25f24","/ 25","6653 Del Playa, 1, Goleta, CA 93117","-","5 beds","2 baths","LEASED FOR:  2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=d4e857d6-1323-4a01-a91d-0abf45c25f24&source=Website",""
"https://www.playalifeiv.com/listings/detail/e1f7400e-0595-49a9-a9f3-69b948515968","/ 21","6736 Sueno, C, Goleta, CA 93117","$7,500","2 beds","2 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=e1f7400e-0595-49a9-a9f3-69b948515968&source=Website",""
"https://www.playalifeiv.com/listings/detail/db257058-6982-481e-872c-00bfc1704db2","/ 33","6736 Sueno, B, Goleta, CA 93117","$7,500","2 beds","2 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=db257058-6982-481e-872c-00bfc1704db2&source=Website",""
"https://www.playalifeiv.com/listings/detail/b871ff3c-4f66-447c-af55-78232bbacd92","/ 16","6777 Del Playa, 4, Goleta, CA 93117","$12,000","4 beds","2 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=b871ff3c-4f66-447c-af55-78232bbacd92&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/387bdc6a-490d-4c3f-95af-1093fa9d4cc7","/ 33","6631 Del Playa, Goleta, CA 93117","-","4 beds","3 baths","LEASED FOR:  2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=387bdc6a-490d-4c3f-95af-1093fa9d4cc7&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/cd317131-cd86-4dbf-9e05-c33cb0f6b7d9","/ 25","6773 Del Playa, Goleta, CA 93117","$17,000","4 beds","3 baths","Available 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=cd317131-cd86-4dbf-9e05-c33cb0f6b7d9&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/fe6de045-e79a-4853-8c6e-aee5cd07ae56","/ 50","6741 Del Playa, Goleta, CA 93117","$19,000","7 beds","3 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=fe6de045-e79a-4853-8c6e-aee5cd07ae56&source=Website","3D Tour available"
"https://www.playalifeiv.com/listings/detail/89c04565-5acf-429b-a639-8d5209cd1020","/ 24","6649 Del Playa, Goleta, CA 93117","$19,000","6 beds","2.5 baths","AVAILABLE 2026-2027","https://playalifeiv.appfolio.com/listings/rental_applications/new?listable_uid=89c04565-5acf-429b-a639-8d5209cd1020&source=Website","3D Tour available"
